Clave de entidad federativa,Nombre de la entidad,Clave de municipio o delegación,Nombre del municipio o delegación,Clave de localidad,Nombre de la localidad,Población total,Población masculina,Población femenina,Población en hogares censales indígenas,Grado promedio de escolaridad,Población económicamente activa,Población sin derechohabiencia a servicios de salud  ,Población derechohabiente a servicios de salud
#NAME?,Aguascalientes,#NAME?,Total de la entidad Aguascalientes,#NAME?,Total de la Entidad,1184996,576638,608358,5660,9.23,475207,249596,930149
#NAME?,Aguascalientes,#NAME?,Total de la entidad Aguascalientes,#NAME?,Localidades de una vivienda,3395,1803,1592,20,*,1273,1031,2347
#NAME?,Aguascalientes,#NAME?,Total de la entidad Aguascalientes,#NAME?,Localidades de dos viviendas,2800,1634,1166,5,*,1101,982,1775
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Total del Municipio,797010,386429,410581,4018,9.81,336974,178471,614582
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Localidades de una vivienda,972,503,469,6,*,367,300,659
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Localidades de dos viviendas,828,468,360,5,*,290,235,556
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Aguascalientes,722250,348722,373528,3647,10.01,308889,160807,557796
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Granja Adelita,14,*,*,*,*,*,*,*
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Agua Azul,37,21,16,0,5.11,16,9,28
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Rancho Alegre,10,*,*,*,*,*,*,*
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Los Arbolitos [Rancho],7,*,*,*,*,*,*,*
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Ardillas de Abajo (Las Ardillas),14,6,8,0,9.2,4,6,8
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Arellano,1382,684,698,2,7.01,505,273,1109
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Bajío los Vázquez,55,27,28,0,5.36,24,36,19
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Residencial San Nicolás [Baños la Cantera],757,366,391,5,13.92,279,174,542
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Buenavista de Peñuelas,935,474,461,22,6.54,357,222,711
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Cabecita 3 Marías (Rancho Nuevo),184,88,96,0,6.05,60,64,120
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Cañada Grande de Cotorina,395,191,204,0,6.92,133,73,322
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Cañada Honda [Estación],509,265,244,0,8.66,188,122,387
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Los Caños,1150,549,601,0,6.08,427,329,815
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,El Cariñán,310,153,157,7,6.73,111,64,244
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,El Cedazo (Cedazo de San Antonio),234,117,117,7,6.88,87,37,197
#NAME?,Aguascalientes,#NAME?,Aguascalientes,#NAME?,Centro de Arriba (El Taray),1064,499,565,0,5.94,220,390,668
